category	icon	priority
Airport	airport	30
Bakery	bread	20
Bank	bank_euro	20
Bus station	busstop	10
Café	cafetaria	30
Car rental	carrental	30
Car Shop	car	30
Cemetery	cemetary	20
Center for Education	cramschool	10
Center for Elderly	retirement_home	10
Church	cross-2	20
Company	company	30
Court	court	10
CSW	group-2	10
Cultural Center	group-2	10
Dentist	dentist	20
Elderly Home	nursing_home_icon	10
Employment Bureau	findajob	10
Exchange Office	currencyexchange	30
Factory	factory	30
Fire Station	firemen	10
Funeral House	cemetary	10
Gas station	fillingstation	30
Government Office	administration	10
Grocery Store	grocery	20
Hairdresser	barber	20
Health Center	firstaid	10
Health Insurance Agency	welfareroom	30
Heating Station	fire	20
High School	highschool	10
Higher Education Institution	university	10
Historical Site	historicalquarter	20
Hospital	hospital-building	10
Hotel	hotel_0star	30
ID Documents Office	customs	10
Insurance Agency	welfareroom	30
Kindergarden	nursery	10
Library	library	10
Market	market	20
Medical Spa	spa	20
Mosque	moonstar	20
Movie theather	cinema	20
Municipal Office	congress	10
Municipality	congress	10
Museum	museum_archeological	20
NGO	office-building	20
Park	tree	10
Passport Office	customs	20
Pharmacy	drugstore	20
Playground	playground	10
Police Station	police	10
Post Office	postal	10
Primary School	school	10
Print Shop	printer-2	30
Property Records Office	townhouse	10
Radio	radio-station-2	20
Recreation	targ	10
Restaurant	restaurant	30
Saw Mill	sawmill-2	30
School	school	10
Secondary School	school	10
Shop	supermarket	30
Sports Center	cup	20
Stadium	stadium	30
Store	departmentstore	30
Tax Office	administration	10
Taxi	taxi	30
Telecom	telephone	20
Theather	theater	10
Tourism Office	information	30
Town Hall	congress	10
Training	workshop	20
Transportation	highway	10
TV Station	tv	20
Utility Company - Electricity	powersubstation	20
Utility Company - Waste	landfill	20
Utility Company - Water	waterdrop	20
Veterinary	veterinary	30
Water Company	waterdrop	20
Wedding Palace	wedding	30
