category;name;latitude;longitude
Hotel;Jezero Jelah recreational;44.668035;17.966919
Mosque;Mesdžid Samci Salakici;44.693522;17.925577
Mosque;Rafik Hasak's Mosque;44.693094;17.93283
Mosque;Mesdžid Lipe;44.692147;17.943902
Store;Store SA;44.697304;17.940642
Mosque;Mesdžid Hrustičke;44.682292;17.946989
Church;Kapela Saint Vida Netača;44.688301;17.955918
Store;"Store ""M&M""";44.702125;17.937338
Church;Crkva svetog nikole Tavelića;44.711061;17.954717
Café;Discoteque Bejići;44.699255;17.975828
Store;"""Konzum"" Sivša";44.695627;17.980295
Church;Sivša, Churche Svetog Ante Padovanskog;44.69459;17.980552
Post Office;Hrvatska pošta d.o.o. Mostar;44.690685;17.97476
Store;"Store ""Gašo""";44.705903;18.014588
Police Station;Usora, Police Station;44.68745;17.986002
Church;Church  svetog Ilije;44.706272;18.016687
Mosque;Kuwajt Mosque;44.695716;18.050506
Post Office;BH Post Office;44.692391;18.04956
Bank;Raiffesien Bank;44.691539;18.033981
Bank;Sber Bank;44.689312;18.030376
Restaurant;Restoran Ušo;44.68202;18.025999
Mosque;Mosque Salihija;44.688638;18.048271
Mosque;Džamija Kraševo;44.682862;18.038446
Church;Chapel Marvići;44.673522;18.056296
Mosque;Mosque Mrvići;44.673246;18.058913
Mosque;Mosque Tešanjka;44.674592;18.018148
Recreation;Poligon Lepenica Recreation;44.66855;18.02986
Mosque;Mosque Šije Donje Polje;44.658625;18.075827
Store;Store Refik;44.647455;18.061789
Mosque;Central Mosque, Šije;44.64667;18.056374
Recreation;Aquapark Šije;44.647035;18.073196
Store;Store Kruško;44.645479;18.051267
Restaurant;Ribarska kuća Šije;44.641781;18.082163
Mosque;Mosque Šije;44.644133;18.083323
Sports Center;Foodball courtyard;44.643583;18.088089
Store;"Supermarket ""Tanja""";44.630058;18.088949
Primary School;Elementary school Ozren;44.616737;18.104868
Store;Market kod Ćupe;44.599814;18.088131
Restaurant;Restaurant Oaza;44.596667;18.090234
Mosque;Nova mosque;44.596117;18.085985
Primary School;First Elemetary school;44.593428;18.088088
Primary School;Područna elementary school Ravna;44.583647;18.055971
Store;Store DADA;44.576953;18.060048
Mosque;Mosque Karadaglije-Koprivci-Oruče;44.576005;18.021982
Primary School;Elementary school Gazi Fehrat beg;44.587804;18.022457
School;Mekteb Roše;44.58374;18.00782
Recreation;Kiseljak Recreation;44.570442;18.001985
